,encoding,probabilities
0,"[[-10.083326    -4.57234     -4.6189947  -27.793016   -17.238468
  -26.878506   -19.236017   -27.758823    -2.3110788  -25.988495
   -1.9980637   -9.415531    -0.2545167   -4.266245   -25.154085
   -3.0849023   30.607403   -27.38083     -7.358853   -14.381797
   -4.0252695   -4.1184206  -15.768504   -22.623482   -14.390692
    3.4592555   -5.254663    -2.4105062   -3.747828    37.483456
   -7.814253   -25.635036     2.117595   -25.359976    -0.89203846
  -20.738787   -27.344397    -8.946497   -17.016747    -5.747011
  -26.942118    14.6432     -28.0458     -24.270828   -27.677927
  -12.768159   -20.760773   -20.710163   -26.186266    -5.334706
  -12.976388   -25.47195     -0.90780485 -13.2392435  -16.096779
   -9.474461    -3.4963386   -0.56864744 -20.848526   -29.964853
   -5.0680704  -29.001286   -13.84261    -25.616047  ]]",[[0.9999999]]
1,"[[-13.128883    12.393149    -7.9566936  -44.227196   -25.237677
  -42.27828    -28.663431   -39.13527      8.03839    -40.768906
   12.619957    -9.139357    16.074585    -2.030917   -40.856243
   10.248081    26.821571   -44.74189     -6.744169   -18.134254
    0.04779244  -4.8023496  -29.854218   -35.157787   -22.331705
   18.155603    -9.806448    13.279691    -0.5870425   34.519962
   -1.5899462  -39.842236    12.377734   -39.46855     12.534921
  -28.449696   -44.062416     7.3974137  -27.21582     -7.0820417
  -42.17589     -3.9141195  -43.307156   -41.371872   -43.382504
  -17.300522   -33.34036    -37.316475   -40.75559     -2.8179164
  -21.254097   -40.271713     3.1419537   -8.203023   -24.368484
   -8.694209    -4.1675744   -0.7036085  -34.929737   -46.865345
   -7.164477   -44.254925   -18.489796   -41.499893  ]]",[[0.7962574]]
2,"[[-17.143803    25.04102    -11.339642   -61.407646   -34.2344
  -58.52821    -39.03873    -52.46056     15.804392   -56.359776
   23.779137   -10.418376    28.795351    -0.9813488  -57.080738
   20.27811     28.518412   -62.57659     -7.4229093  -23.34228
    2.6123056   -6.0716977  -43.41232    -48.49875    -30.807625
   30.199787   -14.240935    25.227678     1.2916081   37.885487
    2.1199007  -54.952263    20.638273   -54.48739     22.897198
  -37.699955   -61.361458    18.851791   -37.91138     -9.083323
  -58.30401    -16.19113    -59.632786   -58.581223   -59.95584
  -22.878725   -46.47982    -53.406857   -56.25969     -1.6834486
  -29.81226    -55.828564     6.0992      -6.4037757  -33.351444
   -9.610826    -5.264464    -0.88134974 -49.11397    -64.69067
   -9.611032   -60.69118    -24.358679   -57.957565  ]]",[[6.840395e-05]]
3,"[[-11.489648     4.2668376   -6.2591143  -35.677845   -21.019863
  -34.243114   -23.694096   -33.04124      3.0804777  -33.09161
    5.5731378   -9.113277     8.115691    -3.0634933  -32.746914
    3.8337586   28.010168   -35.715954    -6.9527063  -16.0569
   -1.9180889   -4.4543962  -22.685097   -28.591553   -18.208794
   10.885255    -7.5070567    5.714521    -2.0863702   35.177162
   -4.426976   -32.457817     7.1587043  -32.107773     6.017494
  -24.295866   -35.38211     -0.2483827  -21.93174     -6.3281736
  -34.231586     4.8945804  -35.29553    -32.604847   -35.146065
  -14.871877   -26.826647   -28.815155   -33.139797    -3.982625
  -16.952904   -32.549305     1.0536441  -10.435423   -20.060253
   -8.938965    -3.81919     -0.61859536 -27.646938   -37.982685
   -6.118431   -36.218597   -16.009521   -33.2924    ]]",[[0.9999304]]
4,"[[-13.728848     0.81365496  -7.08696    -41.272083   -24.734104
  -39.678913   -27.823565   -39.358303     1.168986   -38.270004
    3.0801175  -11.54728      6.0996175   -4.354366   -37.65058
    1.2717947   37.00811    -41.127186    -8.805281   -19.394354
   -3.266595    -5.356731   -25.429628   -33.208942   -21.032286
   10.309194    -8.278234     3.021017    -3.2843606   45.982864
   -7.5041933  -37.612545     7.024087   -37.263023     4.044701
  -29.042938   -40.77909     -5.151243   -25.18396     -7.685749
  -39.706524    11.012954   -41.13924    -37.000626   -40.82337
  -17.678276   -30.90021    -32.458485   -38.459164    -5.519742
  -19.514917   -37.687016     0.75033057 -14.568649   -23.316212
  -11.420521    -4.456681    -0.73150796 -31.655825   -44.253647
   -6.9886084  -42.328384   -19.075186   -38.26192   ]]",[[0.9999999]]
5,"[[-14.4003935  20.934795   -9.321168  -50.490074  -28.25099   -48.21461
  -31.968266  -43.485985   13.1531725 -46.457554   19.713629   -8.947847
   23.688776   -1.121456  -47.05092    16.885098   23.127378  -51.375294
   -6.563521  -19.43523     1.8175365  -5.30893   -35.59825   -39.974617
  -25.492853   24.347342  -11.75783    20.925053    0.7127665  30.762783
    2.103422  -45.352135   15.923918  -44.899345   18.887608  -31.000122
  -50.42484    16.15696   -31.421461   -7.537253  -48.018112  -12.971208
  -49.033848  -48.374382  -49.28535   -19.05191   -38.572567  -43.79793
  -46.446148   -1.6993783 -24.467272  -45.997585    4.112002   -5.830543
  -27.618063   -8.380541   -4.7990823  -0.788849  -40.301113  -53.021984
   -8.358829  -49.91499   -20.32488   -47.794327 ]]",[[0.00017951]]
6,"[[-12.504757   10.063805   -7.3516135 -41.120037  -23.668116  -39.34789
  -26.777431  -36.829647    6.59271   -37.97578    10.5424795  -9.023823
   13.63702    -2.3064723 -37.95733     8.39324    26.550833  -41.472095
   -6.742804  -17.26466    -0.5381891  -4.6834655 -27.369598  -32.754204
  -20.837748   15.80638    -9.03329    11.037878   -1.0437176  33.955387
   -2.260324  -37.166836   10.537578  -36.77591    10.5766115 -26.789728
  -40.905853    5.3667107 -25.33231    -6.755649  -39.275608   -1.4261956
  -40.331802  -38.300842  -40.333015  -16.36691   -31.018784  -34.33368
  -37.97157    -3.1260588 -19.709959  -37.46212     2.3733537  -8.727749
  -22.818005   -8.682365   -4.0678816  -0.6646544 -32.31411   -43.561493
   -6.8255186 -41.249554  -17.533321  -38.571182 ]]",[[0.9623992]]
7,"[[-10.041329     2.223202    -5.2536416  -30.156113   -17.962738
  -29.018948   -20.13192    -28.343206     1.7461969  -28.065723
    3.5994856   -8.293883     5.6000633   -3.0774543  -27.643726
    2.1701407   25.203026   -30.069675    -6.4378457  -14.020097
   -2.255916    -3.9940069  -18.746746   -24.271784   -15.516323
    8.047033    -6.2677484    3.6086779   -2.309724    31.483973
   -4.4216294  -27.56689      4.998809   -27.241581     4.0713606
  -20.873892   -29.860628    -1.594083   -18.632652    -5.5367637
  -29.005642     6.297841   -29.9367     -27.426287   -29.747223
  -12.8874235  -22.748756   -23.985584   -28.1568      -3.9360123
  -14.2622795  -27.564587     0.22488825  -9.954816   -17.13772
   -8.206597    -3.520294    -0.56478256 -23.207      -32.092953
   -5.4091053  -30.748108   -13.913579   -28.134537  ]]",[[0.99994195]]
8,"[[-17.18606     21.303587   -11.073706   -60.553875   -34.04105
  -57.74799    -38.87557    -52.410316    13.595488   -55.57994
   20.764143   -10.966567    25.772964    -1.537121   -56.094677
   17.400572    31.85877    -61.57326     -7.8083315  -23.623499
    1.7729868   -6.0489416  -42.12734    -47.894596   -30.339733
   28.075954   -13.745591    21.981632     0.65710545  41.66591
    0.09609406 -54.22639     19.610691   -53.793575    20.267565
  -37.933468   -60.43207     14.622473   -37.17797     -9.231697
  -57.55523    -11.827633   -59.02322    -57.14784    -59.258064
  -22.884447   -45.590103   -52.064438   -55.509422    -2.3657618
  -29.307224   -55.041943     5.870188    -8.03155    -32.94406
  -10.181897    -5.093797    -0.87998843 -48.21007    -64.092804
   -9.321342   -60.180847   -24.367674   -56.93746   ]]",[[0.014831]]
9,"[[-13.492712     9.820866    -7.8878837  -44.24982    -25.542608
  -42.388226   -28.934385   -39.875        6.489178   -40.817448
   10.544843    -9.896289    13.957581    -2.6338692  -40.75339
    8.264275    29.687243   -44.64779     -7.3482027  -18.727652
   -0.7464168   -4.9895926  -29.280415   -35.305767   -22.395712
   16.569252    -9.592618    11.040461    -1.2483572   37.815666
   -3.0364132  -39.938614    11.348333   -39.611313    10.722218
  -29.050169   -44.002754     4.426932   -27.188772    -7.368238
  -42.296482    -0.46394068 -43.5391     -40.973885   -43.517212
  -17.692682   -33.319904   -36.73788    -40.896294    -3.5209503
  -21.214602   -40.35183      2.6557434   -9.861229   -24.501312
   -9.485441    -4.283598    -0.7310084  -34.708218   -47.074543
   -7.2251177  -44.555225   -18.903883   -41.408005  ]]",[[0.99382955]]
10,"[[-13.581658    9.104361   -7.861624  -44.17202   -25.589598  -42.331966
  -28.933607  -39.99395     6.06232   -40.766933    9.961654  -10.092021
   13.330825   -2.80989   -40.657154    7.7070556  30.40235   -44.52068
   -7.516456  -18.862017   -1.0000844  -5.034023  -29.045006  -35.26287
  -22.381613   16.078165   -9.515494   10.394404   -1.4603481  38.648804
   -3.4270022 -39.90703    10.972568  -39.579937   10.202378  -29.1454
  -43.903477    3.6468632 -27.147858   -7.431383  -42.25215     0.5213899
  -43.506817  -40.802013  -43.454723  -17.767532  -33.246616  -36.5176
  -40.852264   -3.7270484 -21.163422  -40.28671     2.461843  -10.300718
  -24.509663   -9.704723   -4.3167734  -0.7336627 -34.58035   -47.007347
   -7.2378182 -44.53583   -19.001814  -41.30974  ]]",[[0.99778724]]
11,"[[-13.460055     9.613726    -7.8469424  -44.010433   -25.440321
  -42.165222   -28.773031   -39.703285     6.3612747  -40.61331
   10.362422    -9.910304    13.721124    -2.678831   -40.53795
    8.099804    29.694393   -44.3861      -7.3749204  -18.675455
   -0.83339864  -4.9834275  -29.056688   -35.113976   -22.289759
   16.341116    -9.527499    10.830325    -1.323593    37.81949
   -3.101912   -39.74878     11.127419   -39.41707     10.54745
  -28.911291   -43.764103     4.2593317  -27.064844    -7.3487716
  -42.083427    -0.19357106 -43.308483   -40.74213    -43.276245
  -17.631464   -33.13956    -36.506287   -40.68102     -3.5713506
  -21.099453   -40.132446     2.5389702   -9.933829   -24.396606
   -9.51733     -4.286071    -0.7262482  -34.502262   -46.79869
   -7.2051616  -44.31841    -18.855162   -41.185932  ]]",[[0.99477756]]
12,"[[-13.325634     8.69741     -7.6916075  -43.313286   -25.100153
  -41.513443   -28.401962   -39.28469      5.8169756  -39.974808
    9.582317    -9.945174    12.903974    -2.7832613  -39.850986
    7.385084    30.090242   -43.654343    -7.410054   -18.534996
   -1.0215452   -4.94098    -28.441465   -34.592003   -21.936983
   15.645656    -9.302571    10.003297    -1.4659197   38.21222
   -3.4878647  -39.128403    10.716665   -38.817978     9.85221
  -28.63488    -43.052364     3.3065042  -26.59799     -7.2959094
  -41.44116      0.80487514 -42.682602   -39.96718    -42.634808
  -17.444561   -32.598976   -35.78031    -40.064636    -3.688524
  -20.743208   -39.50803      2.4070973  -10.24373    -24.034039
   -9.570777    -4.2369733   -0.71930003 -33.907246   -46.129753
   -7.094002   -43.702957   -18.653786   -40.48759   ]]",[[0.9982936]]
13,"[[-13.559474    10.610096    -7.9977946  -44.463055   -25.630106
  -42.59478    -28.975523   -39.94346      6.919872   -41.015293
   11.188723    -9.824772    14.569809    -2.5793798  -41.004757
    8.867775    28.943258   -44.87033     -7.3034477  -18.70068
   -0.65114254  -5.020677   -29.537716   -35.4566     -22.555998
   16.97939     -9.724888    11.706973    -1.1709144   36.978916
   -2.614909   -40.131367    11.481572   -39.787197    11.259424
  -29.02533    -44.204166     5.3173923  -27.385738    -7.3874183
  -42.470978    -1.3928719  -43.6969     -41.295807   -43.678356
  -17.747845   -33.539467   -36.996662   -41.09001     -3.4539986
  -21.350073   -40.54158      2.6454175   -9.519545   -24.644547
   -9.39844     -4.331687    -0.73762846 -34.87229    -47.223377
   -7.3083262  -44.680046   -18.951712   -41.67169   ]]",[[0.9815529]]
